player_name,season,expected_goals,actual_goals,expected_assists,actual_assists
Victor Wanyama,2016-2017,4.787808591499925,4,2.0355495056137443,1
James Ward-Prowse,2016-2017,4.64575032517314,4,2.890695004723966,4
Jonathan Walters,2016-2017,4.316956391558051,4,0.8909998312592506,2
Xherdan Shaqiri,2016-2017,2.6227933075278997,4,4.274763828143477,2
Manolo Gabbiadini,2016-2017,3.822396032512188,4,0.34004558343440294,0
Abel Hernández,2016-2017,4.706541125662625,4,1.043803329579532,3
Cristhian Stuani,2016-2017,2.8069704733788967,4,0.527985256165266,0
Marten de Roon,2016-2017,2.8140521300956607,4,0.7112411167472601,0
Alfie Mawson,2016-2017,2.04737651348114,4,0.39184867963194847,0
Nolito,2016-2017,3.989437948912382,4,1.4063783716410398,2
Matt Phillips,2016-2017,2.854000398889184,4,4.393439565785229,8
Stefano Okaka,2016-2017,2.620595768094063,4,1.358287408016622,0
Ilkay Gündogan,2016-2017,1.9211897253990171,3,0.9761682460084558,1
Daniel Sturridge,2016-2017,4.347298325970769,3,1.6363769508898258,1
Alex Iwobi,2016-2017,3.22737823612988,3,2.2150609456002712,3
Scott Dann,2016-2017,1.3930320870131254,3,0.9155669864267112,1
James Tomkins,2016-2017,4.003373719751835,3,0.10124174878001212,0
Mark Noble,2016-2017,3.651962250471115,3,1.429750844836235,0
Enner Valencia,2016-2017,4.101014815270901,3,0.8733558282256126,1
Victor Moses,2016-2017,4.045991532504559,3,2.633280579000711,2
Nathan Aké,2016-2017,2.1903526950627565,3,1.0062823817133904,1
Phil Jagielka,2016-2017,1.2690291479229927,3,0.7028567343950272,2
Vincent Kompany,2016-2017,0.6902353931218386,3,0.5746741145849228,0
Wayne Routledge,2016-2017,3.782799694687128,3,2.0548051027581096,1
Shinji Okazaki,2016-2017,2.9647457879036665,3,1.2404345497488976,1
Andros Townsend,2016-2017,3.3315242026001215,3,5.834494690410793,4
Victor Anichebe,2016-2017,2.4265574980527163,3,0.7153270356357098,0
Shane Long,2016-2017,5.245459584519267,3,1.5687828520312903,1
Dusan Tadic,2016-2017,6.760313363745809,3,5.702847916632891,5
Bojan,2016-2017,2.81658380292356,3,0.15535233542323112,0
Chris Brunt,2016-2017,1.5911596892401576,3,4.8668773751705885,4
Sofiane Feghouli,2016-2017,2.8541992688551545,3,1.5520697822794318,3
Ryan Fraser,2016-2017,2.112318053841591,3,3.6223585922271018,5
Sam Clucas,2016-2017,2.778570309281349,3,1.5413988307118416,1
